,id,name,address_1,address_2,pin,phone,email
0,1,Supplier 1,Fgv Avenue,Kolkata,699724,7195808295,supplier_1@yahoo.com
1,2,Supplier 2,Rud Avenue,Chennai,451319,9922986060,supplier_2@yahoo.com
2,3,Supplier 3,Iwb Street,Mumbai,889580,3940219451,supplier_3@yahoo.com
3,4,Supplier 4,Avn Street,Bangalore,494498,8119393319,supplier_4@yahoo.com
4,5,Supplier 5,Elo Road,Mumbai,308291,7019630834,supplier_5@outlook.com
5,6,Supplier 6,Ack Road,Delhi,919655,1316334391,supplier_6@gmail.com
6,7,Supplier 7,Vio Road,Chennai,894634,0352260036,supplier_7@example.com
7,8,Supplier 8,Hof Avenue,Chennai,293044,8931168644,supplier_8@yahoo.com
8,9,Supplier 9,Hfb Avenue,Chennai,978617,9322167851,supplier_9@yahoo.com
9,10,Supplier 10,Zuz Road,Mumbai,704174,4577630372,supplier_10@outlook.com
10,11,Supplier 11,Wvn Street,Kolkata,551108,3094648777,supplier_11@gmail.com
11,12,Supplier 12,Ubu Avenue,Delhi,580389,3325653058,supplier_12@example.com
12,13,Supplier 13,Hoy Avenue,Kolkata,240966,5578563273,supplier_13@outlook.com
13,14,Supplier 14,Xuy Road,Chennai,854062,9860252753,supplier_14@example.com
14,15,Supplier 15,Qjm Street,Bangalore,565440,6080930083,supplier_15@example.com
15,16,Supplier 16,Mmf Road,Mumbai,039440,2659819712,supplier_16@outlook.com
16,17,Supplier 17,Gbe Street,Mumbai,683407,8218937874,supplier_17@outlook.com
17,18,Supplier 18,Mso Street,Delhi,364999,1624092042,supplier_18@gmail.com
18,19,Supplier 19,Ndj Avenue,Mumbai,308113,0216746409,supplier_19@example.com
19,20,Supplier 20,Ibh Avenue,Mumbai,327170,1650590440,supplier_20@gmail.com
